distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,target_num,consume/dist.,consume/speed
20.0,5.2,37,21.5,4,E10,0,0,0,0,0.26,0.14054054054054055
4.9,7.4,26,21.5,6,E10,0,0,0,0,1.510204081632653,0.2846153846153846
11.8,4.8,23,21.5,9,E10,0,0,0,0,0.4067796610169491,0.20869565217391303
12.3,6.5,58,21.5,7,E10,0,0,0,0,0.5284552845528455,0.11206896551724138
12.4,4.0,55,21.5,7,E10,1,1,0,0,0.3225806451612903,0.07272727272727272
4.5,5.0,29,21.5,7,E10,1,0,0,0,1.1111111111111112,0.1724137931034483
11.7,4.6,37,21.5,6,E10,0,0,0,0,0.39316239316239315,0.12432432432432432
10.2,4.3,44,21.5,7,E10,0,0,0,0,0.4215686274509804,0.09772727272727272
5.4,3.3,32,21.5,7,SP98,0,0,0,1,0.611111111111111,0.103125
2.0,9.9,21,21.5,4,SP98,0,0,0,1,4.95,0.4714285714285714
14.2,5.1,32,21.5,7,SP98,0,0,0,1,0.35915492957746475,0.159375
16.0,4.9,25,21.5,8,SP98,0,0,0,1,0.30625,0.196
11.8,4.9,25,21.5,11,SP98,0,0,0,1,0.4152542372881356,0.196
27.3,4.7,36,21.5,10,SP98,0,0,0,1,0.17216117216117216,0.13055555555555556
11.8,5.1,29,21.5,5,SP98,0,1,0,1,0.43220338983050843,0.17586206896551723
10.6,4.9,63,21.5,6,SP98,0,0,0,1,0.4622641509433963,0.07777777777777778
11.6,4.2,61,21.5,7,SP98,0,0,0,1,0.3620689655172414,0.06885245901639345
13.1,6.1,46,21.5,6,SP98,0,1,0,1,0.46564885496183206,0.1326086956521739
6.1,6.4,28,21.5,8,SP98,0,0,0,1,1.0491803278688525,0.2285714285714286
153.5,4.9,82,21.5,3,SP98,0,1,0,1,0.03192182410423453,0.059756097560975614
11.8,4.9,24,21.5,7,SP98,0,0,0,1,0.4152542372881356,0.2041666666666667
12.3,6.2,61,21.5,8,SP98,0,0,0,1,0.5040650406504065,0.10163934426229508
12.4,4.2,57,21.5,8,SP98,0,0,0,1,0.33870967741935487,0.0736842105263158
12.3,5.7,52,21.5,8,SP98,0,1,0,1,0.46341463414634143,0.10961538461538461
2.9,7.9,18,21.5,9,SP98,1,1,0,1,2.724137931034483,0.4388888888888889
2.1,12.2,23,21.5,9,SP98,1,1,0,1,5.809523809523809,0.5304347826086956
9.8,5.8,24,21.5,6,SP98,0,0,0,1,0.5918367346938775,0.24166666666666667
6.8,5.3,26,21.5,6,SP98,0,0,0,1,0.7794117647058824,0.20384615384615384
12.4,5.4,24,21.5,7,SP98,0,0,0,1,0.43548387096774194,0.225
12.4,4.7,57,21.5,8,SP98,0,0,0,1,0.3790322580645161,0.0824561403508772
11.8,4.6,41,21.5,6,SP98,0,0,0,1,0.38983050847457623,0.1121951219512195
12.3,5.4,55,21.5,8,SP98,0,0,0,1,0.43902439024390244,0.09818181818181819
14.0,4.3,40,21.5,8,SP98,0,0,0,1,0.3071428571428571,0.1075
11.8,4.5,37,21.5,4,SP98,1,0,0,1,0.3813559322033898,0.12162162162162163
12.3,5.2,55,21.5,12,SP98,0,0,0,1,0.4227642276422764,0.09454545454545454
2.0,6.2,20,21.5,10,SP98,0,0,0,1,3.1,0.31
13.9,5.1,29,21.5,6,SP98,0,0,0,1,0.3669064748201438,0.17586206896551723
9.7,3.9,42,21.5,8,SP98,0,0,0,1,0.4020618556701031,0.09285714285714286
11.6,5.0,25,21.5,6,SP98,0,0,0,1,0.4310344827586207,0.2
14.2,5.4,38,21.5,7,SP98,0,0,0,1,0.3802816901408451,0.14210526315789473
11.8,4.5,39,21.5,6,SP98,0,0,0,1,0.3813559322033898,0.11538461538461539
24.8,5.1,50,21.5,9,SP98,0,0,0,1,0.20564516129032256,0.102
12.4,4.7,56,21.5,7,SP98,0,0,0,1,0.3790322580645161,0.08392857142857144
34.8,4.0,28,20.0,4,SP98,0,0,0,1,0.1149425287356322,0.14285714285714285
14.2,5.4,36,20.0,6,SP98,0,0,0,1,0.3802816901408451,0.15000000000000002
5.2,4.5,39,20.0,10,SP98,0,0,0,1,0.8653846153846153,0.11538461538461539
10.5,3.6,42,20.0,10,SP98,0,0,0,1,0.34285714285714286,0.08571428571428572
12.3,5.2,57,20.0,10,SP98,0,0,0,1,0.4227642276422764,0.0912280701754386
11.8,4.9,25,20.0,11,SP98,0,0,0,1,0.4152542372881356,0.196
12.3,6.2,58,20.0,11,SP98,0,1,0,1,0.5040650406504065,0.10689655172413794
13.2,4.3,51,20.0,11,SP98,0,1,0,1,0.32575757575757575,0.08431372549019607
13.0,5.0,45,20.0,11,SP98,0,1,0,1,0.38461538461538464,0.1111111111111111
12.9,5.1,32,20.0,11,SP98,0,0,0,1,0.3953488372093023,0.159375
13.9,5.6,22,20.0,8,SP98,0,0,0,1,0.40287769784172656,0.2545454545454545
11.8,4.3,37,20.0,6,SP98,0,0,0,1,0.3644067796610169,0.11621621621621621
12.2,5.8,60,20.0,11,SP98,0,0,0,1,0.4754098360655738,0.09666666666666666
12.5,4.0,51,20.0,13,SP98,0,0,0,1,0.32,0.0784313725490196
12.4,4.7,43,21.5,10,SP98,0,0,0,1,0.3790322580645161,0.10930232558139535
11.8,5.9,21,20.0,9,SP98,1,1,0,1,0.5,0.28095238095238095
11.8,5.3,52,21.5,11,SP98,0,0,0,1,0.4491525423728813,0.10192307692307692
12.5,4.2,57,20.0,11,SP98,0,0,0,1,0.336,0.0736842105263158
15.7,5.3,33,21.5,9,SP98,0,0,0,1,0.3375796178343949,0.1606060606060606
12.9,5.7,35,21.5,9,SP98,0,0,0,1,0.4418604651162791,0.16285714285714287
6.4,4.4,37,21.5,10,SP98,0,0,0,1,0.6875,0.11891891891891893
5.3,4.1,34,21.5,9,SP98,0,0,0,1,0.7735849056603773,0.12058823529411763
26.2,5.8,71,21.0,8,SP98,1,1,0,1,0.22137404580152673,0.08169014084507042
18.8,5.0,62,21.5,9,SP98,0,1,0,1,0.26595744680851063,0.08064516129032258
4.9,6.9,25,21.0,12,SP98,0,1,0,1,1.4081632653061225,0.276
12.4,5.4,18,21.0,11,SP98,1,1,0,1,0.43548387096774194,0.30000000000000004
22.9,5.3,45,20.5,7,SP98,0,0,0,1,0.2314410480349345,0.11777777777777777
162.7,5.5,75,23.0,1,SP98,0,0,0,1,0.03380454824830977,0.07333333333333333
4.9,6.5,26,21.0,1,SP98,0,0,0,1,1.3265306122448979,0.25
11.8,4.7,36,21.0,4,SP98,0,0,0,1,0.3983050847457627,0.13055555555555556
16.6,5.1,56,21.0,7,SP98,0,0,0,1,0.30722891566265054,0.09107142857142857
12.4,5.7,37,21.0,7,SP98,0,0,0,1,0.4596774193548387,0.15405405405405406
15.9,5.4,25,21.0,7,SP98,0,0,0,1,0.339622641509434,0.21600000000000003
5.1,8.7,21,23.5,5,SP98,0,0,0,1,1.7058823529411764,0.41428571428571426
22.4,4.9,66,20.5,7,SP98,0,0,0,1,0.21875000000000003,0.07424242424242425
31.1,4.7,42,20.5,7,SP98,0,0,0,1,0.15112540192926044,0.11190476190476191
4.9,6.3,27,20.5,3,SP98,0,0,0,1,1.2857142857142856,0.23333333333333334
11.8,5.1,26,23.0,4,SP98,0,1,0,1,0.43220338983050843,0.19615384615384615
22.9,6.0,42,23.0,4,SP98,0,1,0,1,0.26200873362445415,0.14285714285714285
12.4,4.6,38,23.0,1,SP98,0,1,0,1,0.3709677419354838,0.12105263157894736
12.9,5.8,40,23.0,4,SP98,0,0,0,1,0.44961240310077516,0.145
11.8,5.1,43,23.0,0,SP98,0,0,0,1,0.43220338983050843,0.11860465116279069
12.2,5.8,58,23.0,2,SP98,0,0,0,1,0.4754098360655738,0.09999999999999999
24.8,4.6,55,23.0,3,SP98,0,0,0,1,0.1854838709677419,0.08363636363636363
14.2,5.6,24,23.0,8,SP98,0,0,0,1,0.39436619718309857,0.2333333333333333
11.8,4.6,38,23.0,0,SP98,0,1,0,1,0.38983050847457623,0.12105263157894736
12.2,6.3,57,23.0,0,SP98,0,1,0,1,0.5163934426229508,0.11052631578947368
24.7,5.5,56,25.0,1,SP98,0,0,0,1,0.22267206477732795,0.09821428571428571
6.8,4.3,46,24.0,2,SP98,0,0,0,1,0.6323529411764706,0.09347826086956522
17.3,5.6,37,21.5,1,SP98,0,0,0,1,0.32369942196531787,0.15135135135135133
11.8,4.3,44,21.5,-3,SP98,0,0,0,1,0.3644067796610169,0.09772727272727272
15.9,5.7,46,21.5,5,SP98,0,0,0,1,0.3584905660377358,0.12391304347826088
5.1,6.4,39,21.5,4,SP98,0,0,0,1,1.254901960784314,0.1641025641025641
16.1,4.5,33,21.5,6,SP98,0,0,0,1,0.2795031055900621,0.13636363636363635
11.8,4.5,43,21.5,3,SP98,0,0,0,1,0.3813559322033898,0.10465116279069768
4.2,6.0,26,21.5,5,SP98,0,0,0,1,1.4285714285714286,0.23076923076923078
17.4,5.1,30,21.5,5,SP98,0,0,0,1,0.2931034482758621,0.16999999999999998
23.5,6.0,25,21.5,5,SP98,0,1,0,1,0.2553191489361702,0.24
11.8,4.5,38,21.5,5,SP98,0,1,0,1,0.3813559322033898,0.11842105263157894
12.3,6.1,61,21.5,10,SP98,0,1,0,1,0.4959349593495934,0.09999999999999999
16.1,5.4,24,21.5,7,E10,0,1,0,0,0.3354037267080745,0.225
11.8,4.3,40,21.5,10,E10,0,1,0,0,0.3644067796610169,0.1075
12.3,5.4,58,21.5,13,E10,0,0,0,0,0.43902439024390244,0.09310344827586207
12.4,4.3,49,21.5,17,E10,0,0,0,0,0.34677419354838707,0.08775510204081632
7.0,5.2,25,21.5,17,E10,0,0,0,0,0.7428571428571429,0.20800000000000002
11.8,4.1,37,21.5,10,E10,0,0,0,0,0.34745762711864403,0.1108108108108108
20.1,4.4,41,21.5,18,E10,0,0,0,0,0.21890547263681592,0.10731707317073172
20.8,4.5,45,21.5,10,E10,0,0,0,0,0.21634615384615383,0.1
1.7,10.8,14,21.5,10,E10,0,1,0,0,6.352941176470589,0.7714285714285715
35.9,4.7,45,21.5,12,E10,0,0,0,0,0.13091922005571033,0.10444444444444445
36.9,4.8,52,21.5,5,E10,0,0,0,0,0.13008130081300814,0.0923076923076923
16.8,4.0,46,21.5,8,E10,0,0,0,0,0.23809523809523808,0.08695652173913043
9.9,5.0,28,21.5,9,E10,0,0,0,0,0.5050505050505051,0.17857142857142858
22.9,4.6,61,21.5,7,E10,0,1,0,0,0.20087336244541484,0.07540983606557376
17.3,5.0,61,21.5,6,E10,1,1,0,0,0.2890173410404624,0.08196721311475409
11.8,4.3,37,21.5,7,E10,0,0,0,0,0.3644067796610169,0.11621621621621621
36.6,5.2,80,21.5,7,E10,0,1,0,0,0.14207650273224043,0.065
44.9,4.7,62,21.5,8,E10,0,0,0,0,0.1046770601336303,0.07580645161290323
11.8,4.2,34,21.5,9,E10,0,1,0,0,0.3559322033898305,0.12352941176470589
21.6,5.3,44,21.5,9,E10,0,1,0,0,0.24537037037037035,0.12045454545454545
39.4,5.3,60,21.5,9,E10,0,1,0,0,0.13451776649746192,0.08833333333333333
5.1,8.1,39,21.5,4,E10,0,0,0,0,1.5882352941176472,0.20769230769230768
26.6,4.8,38,21.5,7,E10,0,0,0,0,0.18045112781954886,0.12631578947368421
53.2,5.1,71,21.5,2,E10,0,0,0,0,0.09586466165413533,0.07183098591549296
18.9,4.4,53,21.5,2,E10,0,0,0,0,0.23280423280423285,0.08301886792452831
43.5,5.0,80,21.5,3,E10,0,0,0,0,0.11494252873563218,0.0625
6.1,6.3,26,21.5,5,E10,0,0,0,0,1.0327868852459017,0.2423076923076923
16.4,4.8,49,21.5,5,E10,0,0,0,0,0.29268292682926833,0.09795918367346938
12.3,6.1,40,21.5,6,E10,0,0,0,0,0.4959349593495934,0.1525
21.1,4.6,36,21.5,8,E10,0,0,0,0,0.21800947867298576,0.12777777777777777
21.1,4.8,43,21.5,7,E10,0,0,0,0,0.22748815165876776,0.11162790697674418
22.7,4.7,55,21.5,6,E10,0,0,0,0,0.20704845814977976,0.08545454545454546
44.4,4.8,38,21.5,8,E10,0,0,0,0,0.10810810810810811,0.12631578947368421
35.8,4.4,51,21.5,6,E10,0,0,0,0,0.12290502793296092,0.08627450980392158
11.8,4.9,44,21.5,0,E10,0,0,0,0,0.4152542372881356,0.11136363636363637
26.2,4.9,42,21.5,6,E10,0,0,0,0,0.18702290076335878,0.11666666666666667
40.6,4.4,44,21.0,3,E10,0,0,0,0,0.10837438423645321,0.1
12.4,5.3,38,21.0,-5,E10,0,0,0,0,0.42741935483870963,0.1394736842105263
14.1,5.3,47,21.0,-3,E10,0,0,0,0,0.375886524822695,0.1127659574468085
58.7,4.8,75,21.0,0,E10,0,0,0,0,0.0817717206132879,0.064
16.2,5.2,29,21.0,0,E10,0,0,0,0,0.3209876543209877,0.1793103448275862
12.3,4.9,50,22.5,0,E10,0,0,0,0,0.3983739837398374,0.098
12.3,7.1,52,22.5,0,E10,1,1,0,0,0.5772357723577235,0.13653846153846153
12.4,5.2,51,22.5,1,E10,0,0,0,0,0.41935483870967744,0.10196078431372549
31.8,4.7,59,22.5,3,E10,0,0,0,0,0.14779874213836477,0.07966101694915255
12.3,5.1,55,22.5,8,E10,0,0,0,0,0.41463414634146334,0.09272727272727273
51.6,5.0,73,22.5,12,E10,0,0,0,0,0.09689922480620154,0.0684931506849315
38.6,4.6,44,22.5,10,E10,0,0,0,0,0.11917098445595854,0.10454545454545454
12.3,4.8,41,22.5,7,E10,0,0,0,0,0.39024390243902435,0.11707317073170731
81.2,4.4,69,22.0,13,E10,0,0,0,0,0.054187192118226604,0.063768115942029
130.3,4.6,85,22.0,12,E10,0,0,0,0,0.03530314658480429,0.05411764705882353
67.2,4.3,67,22.0,18,E10,0,0,0,0,0.06398809523809523,0.06417910447761194
43.7,4.7,44,22.0,9,SP98,0,1,0,1,0.10755148741418764,0.10681818181818183
12.1,4.2,43,22.0,4,SP98,0,0,0,1,0.34710743801652894,0.09767441860465116
56.1,4.8,82,22.0,13,SP98,0,0,0,1,0.0855614973262032,0.058536585365853655
39.0,4.1,61,22.0,16,SP98,0,0,0,1,0.10512820512820512,0.06721311475409836
11.8,4.5,41,21.5,13,SP98,0,0,0,1,0.3813559322033898,0.10975609756097561
38.5,4.8,63,21.5,14,SP98,0,0,0,1,0.12467532467532468,0.07619047619047618
28.2,4.6,54,21.5,14,SP98,0,0,0,1,0.1631205673758865,0.08518518518518518
2.9,7.4,24,21.5,14,SP98,0,0,0,1,2.5517241379310347,0.30833333333333335
6.1,5.6,24,21.5,13,SP98,0,0,0,1,0.9180327868852459,0.2333333333333333
19.6,4.9,43,21.5,13,SP98,0,0,0,1,0.25,0.11395348837209303
22.2,3.8,42,21.5,15,SP98,0,0,0,1,0.17117117117117117,0.09047619047619047
13.6,4.5,44,19.0,18,SP98,0,0,0,1,0.33088235294117646,0.10227272727272728
12.6,4.1,33,21.5,17,SP98,0,0,0,1,0.32539682539682535,0.12424242424242424
8.7,5.3,28,22.5,12,SP98,1,1,0,1,0.6091954022988506,0.18928571428571428
7.9,4.7,31,22.5,12,SP98,1,0,0,1,0.5949367088607594,0.15161290322580645
2.4,9.0,26,20.0,10,SP98,0,0,0,1,3.75,0.34615384615384615
4.9,6.3,26,20.0,10,SP98,0,0,0,1,1.2857142857142856,0.2423076923076923
18.1,3.6,36,20.0,19,SP98,0,0,0,1,0.19889502762430938,0.1
25.9,3.7,39,20.0,21,SP98,0,0,0,1,0.14285714285714288,0.09487179487179488
1.3,11.5,21,20.0,10,SP98,0,0,0,1,8.846153846153847,0.5476190476190477
14.1,5.0,22,20.0,12,SP98,0,0,0,1,0.3546099290780142,0.22727272727272727
13.4,5.5,31,20.0,9,SP98,0,0,0,1,0.4104477611940298,0.1774193548387097
6.4,4.7,33,20.0,8,SP98,0,0,0,1,0.734375,0.14242424242424243
12.9,4.5,42,20.0,13,SP98,0,0,0,1,0.3488372093023256,0.10714285714285714
12.1,4.4,33,22.5,5,SP98,0,0,0,1,0.3636363636363637,0.13333333333333333
15.7,4.1,32,22.5,13,SP98,0,0,0,1,0.2611464968152866,0.128125
16.2,4.4,26,22.5,11,SP98,0,0,0,1,0.271604938271605,0.16923076923076924
12.8,4.6,22,22.5,12,SP98,0,0,0,1,0.35937499999999994,0.20909090909090908
19.0,4.4,58,22.5,17,SP98,0,0,1,1,0.23157894736842108,0.07586206896551725
29.0,4.0,27,22.5,12,SP98,0,0,0,1,0.13793103448275862,0.14814814814814814
12.1,5.0,32,22.5,9,SP98,0,0,0,1,0.4132231404958678,0.15625
12.3,5.2,55,22.5,10,SP98,0,0,0,1,0.4227642276422764,0.09454545454545454
24.8,4.0,56,22.5,11,SP98,0,0,0,1,0.16129032258064516,0.07142857142857142
12.9,5.1,34,22.5,8,SP98,0,1,0,1,0.3953488372093023,0.15
11.8,4.5,39,22.5,3,SP98,0,0,0,1,0.3813559322033898,0.11538461538461539
31.4,4.6,62,22.5,11,SP98,0,0,0,1,0.1464968152866242,0.07419354838709677
19.0,5.1,53,22.5,4,SP98,0,1,0,1,0.26842105263157895,0.09622641509433962
13.0,5.7,38,22.5,3,SP98,1,1,0,1,0.43846153846153846,0.15
11.8,4.8,42,22.5,2,SP98,0,0,0,1,0.4067796610169491,0.11428571428571428
13.0,6.2,32,22.5,4,SP98,0,0,0,1,0.47692307692307695,0.19375
11.8,5.0,43,22.5,1,SP98,0,0,0,1,0.423728813559322,0.11627906976744186
27.1,5.0,69,22.5,8,SP98,0,0,0,1,0.18450184501845018,0.07246376811594203
5.2,4.6,38,22.5,8,SP98,0,0,0,1,0.8846153846153845,0.12105263157894736
19.0,4.5,29,22.5,10,E10,0,0,0,0,0.23684210526315788,0.15517241379310345
12.4,4.8,38,22.5,1,E10,0,0,0,0,0.3870967741935484,0.12631578947368421
25.2,5.0,55,22.5,9,E10,0,0,0,0,0.19841269841269843,0.09090909090909091
14.3,4.8,36,22.5,10,E10,0,0,0,0,0.3356643356643356,0.13333333333333333
11.8,4.6,40,22.5,2,E10,0,0,0,0,0.38983050847457623,0.11499999999999999
16.9,4.5,48,22.5,9,E10,0,0,1,0,0.26627218934911245,0.09375
12.4,4.6,55,22.5,11,E10,0,0,1,0,0.3709677419354838,0.08363636363636363
17.4,4.4,36,22.5,12,E10,0,0,1,0,0.25287356321839083,0.12222222222222223
9.2,5.7,33,22.5,8,E10,0,1,0,0,0.6195652173913044,0.17272727272727273
12.3,5.8,54,22.5,10,E10,0,1,0,0,0.47154471544715443,0.10740740740740741
13.0,5.9,32,22.5,10,E10,0,0,0,0,0.4538461538461539,0.184375
11.8,6.1,16,22.5,6,E10,0,1,0,0,0.5169491525423728,0.38125
13.0,5.7,37,22.5,11,E10,0,1,0,0,0.43846153846153846,0.15405405405405406
12.3,5.0,42,22.5,10,E10,0,0,0,0,0.4065040650406504,0.11904761904761904
12.3,5.2,57,22.5,15,E10,0,0,1,0,0.4227642276422764,0.0912280701754386
12.5,4.3,57,22.5,16,E10,0,0,1,0,0.344,0.07543859649122807
31.5,4.1,30,22.5,16,E10,0,0,1,0,0.13015873015873014,0.13666666666666666
11.8,4.4,42,22.5,8,E10,0,0,0,0,0.3728813559322034,0.10476190476190476
24.9,4.5,53,22.5,14,E10,0,0,0,0,0.18072289156626506,0.08490566037735849
17.0,3.9,46,22.5,14,E10,0,0,1,0,0.22941176470588234,0.08478260869565217
2.0,8.1,20,22.5,14,E10,0,0,0,0,4.05,0.40499999999999997
11.8,4.4,33,22.5,8,E10,0,0,0,0,0.3728813559322034,0.13333333333333333
7.4,5.0,31,22.5,12,E10,0,0,0,0,0.6756756756756757,0.16129032258064516
12.4,4.7,55,22.5,14,E10,0,0,1,0,0.3790322580645161,0.08545454545454546
2.0,6.0,22,22.5,14,E10,0,0,0,0,3.0,0.2727272727272727
14.0,5.0,41,22.5,8,E10,0,0,0,0,0.35714285714285715,0.12195121951219512
25.7,5.0,45,22.5,7,E10,0,0,0,0,0.19455252918287938,0.1111111111111111
24.5,3.9,50,21.5,15,E10,0,0,1,0,0.15918367346938775,0.078
11.8,4.5,28,22.5,12,E10,0,0,0,0,0.3813559322033898,0.16071428571428573
4.1,5.4,24,22.5,13,E10,0,0,0,0,1.3170731707317076,0.225
4.2,5.6,29,22.0,17,E10,0,0,0,0,1.3333333333333333,0.19310344827586207
4.2,3.9,29,22.0,18,E10,0,0,1,0,0.9285714285714285,0.13448275862068965
16.0,4.0,40,22.0,10,E10,0,0,0,0,0.25,0.1
22.9,4.0,29,21.5,21,E10,0,0,0,0,0.17467248908296945,0.13793103448275862
16.0,3.8,42,21.5,8,E10,0,0,0,0,0.2375,0.09047619047619047
15.4,4.5,50,22.0,14,E10,0,0,0,0,0.2922077922077922,0.09
16.0,3.8,41,22.0,12,E10,0,0,0,0,0.2375,0.09268292682926829
4.2,5.6,32,22.0,18,E10,0,0,0,0,1.3333333333333333,0.175
101.9,5.2,75,22.0,18,E10,0,0,0,0,0.05103042198233562,0.06933333333333333
93.9,4.8,88,23.0,18,E10,1,0,1,0,0.051118210862619806,0.05454545454545454
25.7,4.9,50,22.0,10,SP98,0,1,0,1,0.1906614785992218,0.098
16.0,4.1,40,22.0,10,SP98,0,0,0,1,0.25625,0.1025
16.1,4.5,32,22.0,19,SP98,0,0,0,1,0.2795031055900621,0.140625
16.0,4.4,40,22.0,7,SP98,1,1,0,1,0.275,0.11000000000000001
16.0,4.5,41,22.0,11,SP98,0,0,0,1,0.28125,0.10975609756097561
24.7,4.5,26,22.0,10,SP98,0,0,0,1,0.18218623481781376,0.17307692307692307
16.0,3.9,42,22.0,8,SP98,0,0,0,1,0.24375,0.09285714285714286
15.4,4.6,43,22.0,16,SP98,0,0,0,1,0.2987012987012987,0.10697674418604651
16.0,3.8,40,22.0,8,SP98,0,0,0,1,0.2375,0.095
32.1,4.5,50,22.0,16,SP98,0,0,0,1,0.14018691588785046,0.09
25.9,4.4,40,22.0,14,SP98,0,0,0,1,0.1698841698841699,0.11000000000000001
48.6,4.3,44,22.0,12,SP98,0,0,0,1,0.08847736625514403,0.09772727272727272
37.2,4.0,45,22.0,20,SP98,0,0,1,1,0.1075268817204301,0.08888888888888889
28.8,3.9,35,22.0,15,SP98,0,0,1,1,0.13541666666666666,0.11142857142857143
6.7,5.0,30,22.0,17,SP98,0,0,0,1,0.7462686567164178,0.16666666666666666
7.4,4.1,25,22.0,18,SP98,0,0,1,1,0.554054054054054,0.16399999999999998
17.3,4.1,22,22.0,25,SP98,0,0,1,1,0.23699421965317916,0.18636363636363634
6.6,5.6,43,22.0,16,SP98,0,0,0,1,0.8484848484848485,0.13023255813953488
14.3,4.1,26,22.0,20,SP98,0,0,0,1,0.28671328671328666,0.1576923076923077
13.3,4.6,33,22.0,18,SP98,0,0,0,1,0.3458646616541353,0.13939393939393938
8.3,4.9,26,22.0,23,SP98,0,0,0,1,0.5903614457831325,0.18846153846153849
12.7,4.5,39,22.0,27,SP98,0,0,1,1,0.35433070866141736,0.11538461538461539
16.5,4.1,47,22.0,14,SP98,0,0,0,1,0.24848484848484848,0.08723404255319148
20.6,4.1,38,22.0,21,SP98,0,0,0,1,0.1990291262135922,0.10789473684210525
16.3,4.5,58,22.0,16,SP98,0,0,0,1,0.2760736196319018,0.07758620689655173
18.7,4.2,65,25.0,18,SP98,1,0,1,1,0.22459893048128343,0.06461538461538462
36.5,3.9,54,23.0,18,SP98,0,0,1,1,0.10684931506849314,0.07222222222222222
19.0,5.0,35,22.0,15,SP98,1,0,1,1,0.2631578947368421,0.14285714285714285
16.6,4.4,46,22.0,5,SP98,1,0,0,1,0.26506024096385544,0.09565217391304348
29.9,4.5,32,22.0,18,SP98,1,0,0,1,0.1505016722408027,0.140625
16.0,3.8,42,22.0,11,SP98,0,0,0,1,0.2375,0.09047619047619047
21.1,5.1,33,22.0,10,SP98,0,1,0,1,0.24170616113744073,0.15454545454545454
16.0,3.9,40,22.0,10,SP98,0,0,0,1,0.24375,0.0975
11.9,5.3,34,22.0,13,SP98,0,0,0,1,0.4453781512605042,0.15588235294117647
10.1,4.2,35,22.0,16,SP98,0,0,0,1,0.4158415841584159,0.12000000000000001
31.9,4.3,33,22.0,16,SP98,0,0,0,1,0.13479623824451412,0.1303030303030303
18.7,4.0,60,22.0,13,SP98,0,0,0,1,0.21390374331550802,0.06666666666666667
10.8,4.7,48,22.0,17,SP98,0,0,1,1,0.4351851851851852,0.09791666666666667
